Group,Team,1st %,2nd %,3rd(Q) %,3rd(out) %,4th %,Qualify %,R32 %,R16 %,QF %,SF %,3rd Place %,Final %,Champion %
E,Curacao,0.2,2.9,4.8,7.3,84.8,7.9,7.9,0.6,0.1,0.0,0.0,0.0,0.0
F,Netherlands,51.2,27.6,11.6,2.5,7.0,90.5,90.5,52.2,34.0,16.8,4.6,6.3,2.1
F,Japan,27.1,32.6,17.9,7.3,15.2,77.5,77.5,38.3,22.1,10.1,2.6,3.5,0.9
F,Sweden,15.4,24.9,22.0,10.4,27.3,62.3,62.3,12.3,3.2,0.8,0.1,0.1,0.1
F,Tunisia,6.2,14.9,17.8,10.5,50.5,39.0,39.0,4.8,1.4,0.3,0.1,0.0,0.0
G,Belgium,66.9,21.8,7.3,1.4,2.6,96.0,96.0,65.5,34.8,10.2,3.1,3.7,1.1
G,Egypt,18.2,37.0,20.3,8.6,15.8,75.5,75.5,25.4,4.7,0.9,0.1,0.1,0.0
G,Iran,10.9,28.5,22.6,11.9,26.0,62.1,62.1,26.7,7.3,1.9,0.2,0.4,0.1
G,New Zealand,4.0,12.7,14.5,13.3,55.5,31.1,31.1,5.1,0.3,0.0,0.0,0.0,0.0
H,Spain,76.8,20.2,2.1,0.2,0.7,99.2,99.2,80.6,64.2,53.8,8.8,42.0,30.2
H,Uruguay,19.7,56.2,13.2,4.8,6.1,89.1,89.1,40.5,22.9,10.4,2.5,3.9,1.2
H,Saudi Arabia,1.8,12.3,18.1,21.3,46.5,32.2,32.2,4.5,0.4,0.1,0.0,0.1,0.0
H,Cape Verde,1.8,11.2,18.9,21.2,46.8,31.9,31.9,4.3,0.8,0.1,0.0,0.0,0.0
I,France,62.7,26.2,8.6,1.0,1.4,97.6,97.6,79.9,58.2,42.8,12.8,23.4,13.6
I,Norway,25.6,42.6,21.6,4.4,5.7,89.9,89.9,53.8,28.8,14.4,4.2,5.0,1.8
I,Senegal,10.7,27.4,34.6,13.9,13.4,72.7,72.7,36.3,18.4,6.7,1.5,1.6,0.6
I,Iraq,0.9,3.8,7.5,8.2,79.5,12.3,12.3,2.3,0.4,0.1,0.0,0.0,0.0
J,Argentina,68.3,21.1,8.0,0.9,1.8,97.4,97.4,68.5,56.1,42.4,8.0,31.5,19.3
J,Austria,20.4,42.1,21.3,6.8,9.4,83.9,83.9,27.2,11.6,4.1,0.9,0.9,0.4
J,Algeria,10.2,29.8,27.5,13.4,19.2,67.4,67.4,18.1,5.5,1.4,0.1,0.2,0.1
J,Jordan,1.1,7.1,10.8,11.3,69.7,19.0,19.0,4.3,0.7,0.1,0.0,0.0,0.0
K,Portugal,59.7,29.6,7.2,1.5,2.0,96.5,96.5,68.8,41.9,20.8,5.2,11.6,4.2
K,Colombia,33.6,46.5,11.9,3.5,4.5,92.0,92.0,64.0,35.0,19.5,4.8,10.4,4.3
K,DR Congo,3.9,13.0,20.8,18.9,43.5,37.6,37.6,8.3,1.4,0.2,0.1,0.0,0.0
K,Uzbekistan,2.9,10.8,18.7,17.6,50.0,32.4,32.4,9.1,2.1,0.4,0.1,0.0,0.0
L,England,68.3,23.4,5.6,1.1,1.6,97.4,97.4,70.2,48.4,29.8,8.8,15.3,6.9
L,Croatia,22.2,45.1,17.5,5.7,9.6,84.8,84.8,42.8,20.6,9.7,2.4,3.9,1.4
L,Ghana,6.8,20.6,25.4,15.6,31.5,52.9,52.9,3.8,0.5,0.1,0.0,0.0,0.0
L,Panama,2.6,10.8,14.3,14.8,57.4,27.9,27.9,6.5,1.9,0.4,0.0,0.0,0.0
