Date,Time,Home,Away,λ Home,λ Away,Top Score,Probability,2nd Score,3rd Score
6/24/2026,23:00,Scotland,Brazil,0.687,2.049,0 - 2,13.61%,0 - 1,1 - 2
6/24/2026,23:00,Morocco,Haiti,2.364,0.584,2 - 0,14.65%,1 - 0,3 - 0
6/25/2026,2:00,Czech Republic,Mexico,0.873,1.34,0 - 1,14.65%,1 - 1,0 - 0
6/25/2026,2:00,South Africa,South Korea,0.843,1.289,0 - 1,15.28%,1 - 1,0 - 0
6/25/2026,21:00,Curacao,Ivory Coast,0.658,2.2,0 - 2,13.89%,0 - 1,0 - 3
6/25/2026,21:00,Ecuador,Germany,0.845,1.663,0 - 1,13.54%,1 - 1,0 - 2
6/26/2026,0:00,Tunisia,Netherlands,0.718,1.767,0 - 1,14.73%,0 - 2,1 - 1
6/26/2026,0:00,Japan,Sweden,1.316,0.934,1 - 0,13.87%,1 - 1,0 - 0
6/26/2026,3:00,Paraguay,Australia,1.244,0.94,1 - 0,14.00%,1 - 1,0 - 0
6/26/2026,3:00,Turkey,USA,1.146,1.201,1 - 1,13.16%,0 - 1,1 - 0
6/26/2026,20:00,Senegal,Iraq,1.847,0.633,1 - 0,15.47%,2 - 0,1 - 1
6/26/2026,20:00,Norway,France,0.85,1.479,0 - 1,14.41%,1 - 1,0 - 2
6/27/2026,1:00,Cape Verde,Saudi Arabia,1.183,1.137,1 - 1,13.22%,1 - 0,0 - 1
6/27/2026,1:00,Uruguay,Spain,0.766,1.631,0 - 1,14.85%,0 - 2,1 - 1
6/27/2026,4:00,New Zealand,Belgium,0.603,2.294,0 - 2,14.52%,0 - 1,0 - 3
6/27/2026,4:00,Egypt,Iran,1.064,0.81,1 - 0,16.34%,0 - 0,1 - 1
6/27/2026,22:00,Panama,England,0.617,2.445,0 - 2,13.98%,0 - 1,0 - 3
6/27/2026,22:00,Croatia,Ghana,1.459,0.715,1 - 0,16.59%,2 - 0,1 - 1
6/28/2026,0:30,Colombia,Portugal,0.968,1.306,0 - 1,13.44%,1 - 1,0 - 0
6/28/2026,0:30,DR Congo,Uzbekistan,1.125,1.053,1 - 1,13.42%,1 - 0,0 - 1
6/28/2026,3:00,Jordan,Argentina,0.48,2.525,0 - 2,15.79%,0 - 3,0 - 1
6/28/2026,3:00,Algeria,Austria,0.904,1.189,0 - 1,14.66%,1 - 1,0 - 0
